"Order" "AnalysisTaxon" "Filename" "Type"
"73" "Hymenoptera" "Platygastridae (s str)" "SMTP_Platygastridae_PNB.xls" "quantitative"
"74" "Hymenoptera" "Platygastridae (s str)" "SMTP_Platygastridae_PNB_twooftwo.xls" "quantitative"
"75" "Hymenoptera" "Figitidae excl Charipinae" "SMTP_Figitidae1.xls" "quantitative"
"76" "Hymenoptera" "Ismaridae" "SMTP_Ismaridae_MK1.xls" "quantitative"
"77" "Hymenoptera" "Ismaridae" "SMTP_Ismaridae_MK2.xls" "quantitative"
"78" "Hymenoptera" "Heloridae" "SMTP_Heloridae_C_EM.xls" "quantitative"
"79" "Hymenoptera" "Evaniidae" "SMTP_Evaniidae_JP.xls" "quantitative"
"80" "Hymenoptera" "Gasteruptiidae+Aulacidae" "SMTP_GasteruptiidaeKvA.xls" "quantitative"
"81" "Hymenoptera" "Gasteruptiidae+Aulacidae" "SMTP_GasteruptiidaeNJ.xls" "quantitative"
"82" "Hymenoptera" "Gasteruptiidae+Aulacidae" "SMTP_Aulacidae_MF.xls" "quantitative"
"83" "Hymenoptera" "Eupelmidae" "SMTP_Eupelmidae_LF2.xls" "quantitative"
"84" "Hymenoptera" "Eupelmidae" "SMTP_Eupelmidae_LF1.xls" "quantitative"
"85" "Hymenoptera" "Omphale" "SMTP_Eulophidae_CH_ES.xls" "quantitative"
"86" "Hymenoptera" "Mymar" "SMTP_Mymar.xls" "quantitative"
"87" "Hymenoptera" "Ichneumoninae excl Phaeogenini" "SMTP_Ichneumoninae_1of3_MR.xls" "quantitative"
"88" "Hymenoptera" "Ichneumoninae excl Phaeogenini" "SMTP_Ichneumoninae_2of3_MR.xls" "quantitative"
"89" "Hymenoptera" "Ichneumoninae excl Phaeogenini" "SMTP_Ichneumoninae_3of3_MR.xls" "quantitative"
"90" "Hymenoptera" "Adelognathinae" "SMTP_Adelognathinae.xls" "quantitative"
"91" "Hymenoptera" "Diplazontinae" "SMTP_Diplazontinae_LF.xls" "quantitative"
"92" "Hymenoptera" "Pimplinae" "SMTP_Pimplinae.xls" "quantitative"
"93" "Hymenoptera" "Pimplinae" "SMTP_Pimplinae2.xls" "quantitative"
"94" "Hymenoptera" "Rhyssinae" "SMTP_Rhyssinae.xls" "quantitative"
"95" "Hymenoptera" "Poemeniinae" "SMTP_Poemeniinae_Varga.xls" "quantitative"
"96" "Hymenoptera" "Poemeniinae" "SMTP_Poemeniinae_Kanders.xls" "quantitative"
"97" "Hymenoptera" "Xoridinae" "SMTP_Xoridinae_MR.xls" "quantitative"
"98" "Hymenoptera" "Xoridinae" "SMTP_Xoridinae_Varga.xls" "quantitative"
"99" "Hymenoptera" "Phrudus group" "SMTP_Phrudinae_MK.xls" "quantitative"
"100" "Hymenoptera" "Phrudus group" "SMTP_Phrudinae2.xls" "quantitative"
"101" "Hymenoptera" "Neorhacodini" "SMTP_Tersilochinae_PM.xls" "quantitative"
"102" "Hymenoptera" "Banchini" "SMTP_Banchinae_MR.xls" "quantitative"
"103" "Hymenoptera" "Netelia" "SMTP_Netelia_GB.xls" "quantitative"
"104" "Hymenoptera" "Anomaloninae" "SMTP_Anomaloninae_HS.xls" "quantitative"
"105" "Hymenoptera" "Brachycyrtinae" "SMTP_Brachycyrtinae_PM.xls" "quantitative"
"106" "Hymenoptera" "Diacritinae" "SMTP_Diacritinae_PM.xls" "quantitative"
"108" "Hymenoptera" "Meteorini" "SMTP_MeteoriniC.xls" "quantitative"
"110" "Hymenoptera" "Adeliini" "SMTP_Adeliinae.xls" "quantitative"
"111" "Hymenoptera" "Pompilidae" "SMTP_Pompilidae_JA.xls" "quantitative"
"112" "Hymenoptera" "Pompilidae" "SMTP_Pompilidae_JA2.xls" "quantitative"
"113" "Hymenoptera" "Dryinidae+Embolemidae" "SMTP_Dryinidae_MO.xls" "quantitative"
"114" "Hymenoptera" "Dryinidae+Embolemidae" "SMTP_Embolemidae_MO.xls" "quantitative"
"115" "Hymenoptera" "Small parasitic aculeate families" "SMTP_Mutillidae.xls" "quantitative"
"116" "Hymenoptera" "Small parasitic aculeate families" "SMTP_Myrmosidae.xls" "quantitative"
"117" "Hymenoptera" "Small parasitic aculeate families" "SMTP_Tiphiidae.xls" "quantitative"
"118" "Hymenoptera" "Small parasitic aculeate families" "SMTP_Methochidae.xls" "quantitative"
"119" "Hymenoptera" "Small parasitic aculeate families" "SMTP_Sapygidae.xls" "quantitative"
"120" "Hymenoptera" "Sphecidae (s lat)" "SMTP_Crabronidae.xls" "quantitative"
"121" "Hymenoptera" "Vespinae" "SMTP_Vespinae_UW.xls" "quantitative"
"122" "Hymenoptera" "Vespinae" "SMTP_Vespinae_WE.xls" "quantitative"
"123" "Hymenoptera" "Eumeninae" "SMTP_Eumeninae_JA.xls" "quantitative"
"124" "Hymenoptera" "Eumeninae" "SMTP_Eumeninae_JA_UW_2013.xls" "quantitative"
"125" "Hymenoptera" "Formicidae" "SMTP_Formicidae.xls" "quantitative"
"126" "Hymenoptera" "Chrysididae" "SMTP_Chrysididae.xls" "quantitative"
"127" "Hymenoptera" "Bethylidae" "SMTP_BethylidaeMF.xls" "quantitative"
