"Sorting.Number" "Order" "Taxon..Dyntaxa.2017." "Taxon.in.Gärdenfors.et.al...2003." "Linné..1761." "Wahlgren...Tullgren..1922." "Gärdenfors.et.al...2003." "Corrected.values.2003" "Dyntaxa.2017" "Corrected.values.2017" "Sweden.estimated.total" "New.species.to.science.since.2003" "Estimate.minus.known.2003" "Estimate.minus.known.2017" "Main.feeding.niche" "Main.feeding.habitat" "Expert.estimate"
"86" 14 "Phthiraptera" "Goniodidae" "Philopteridae (pars)" 0 9 9 9 10 10 16 0 7 6 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"87" 14 "Phthiraptera" "Gyropidae" "Gyropidae (pars)" 0 0 1 1 1 1 1 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"88" 14 "Phthiraptera" "Haematopinidae" "Haematopinidae" 1 1 3 3 3 3 3 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"89" 14 "Phthiraptera" "Hoplopleuridae" "Hoplopleuridae" 0 0 1 1 1 1 2 0 1 1 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"90" 14 "Phthiraptera" "Laemobothriidae" "Laemobothriidae" 1 2 5 5 5 5 8 0 3 3 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"91" 14 "Phthiraptera" "Linognathidae" "Linognathidae" 1 7 5 5 5 5 5 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"92" 14 "Phthiraptera" "Menoponidae" "Menoponidae" 2 43 50 50 65 65 104 0 54 39 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"93" 14 "Phthiraptera" "Pediculidae" "Pediculidae" 2 3 2 1 1 1 1 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"94" 14 "Phthiraptera" "Philopteridae" "Philopteridae (pars)" 11 55 71 71 152 152 243 2 172 91 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"95" 14 "Phthiraptera" "Polyplacidae" "Polyplacidae" 0 0 5 5 5 5 6 0 1 1 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"96" 14 "Phthiraptera" "Pthiridae" "Pthiridae" 0 0 1 1 1 1 1 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"97" 14 "Phthiraptera" "Ricinidae" "Ricinidae" 0 1 8 8 2 8 13 0 5 5 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"98" 14 "Phthiraptera" "Trichodectidae" "Trichodectidae (pars)" 0 3 3 3 11 11 14 0 11 3 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"99" 14 "Phthiraptera" "Trimenoponidae" "Trimenoponidae" 0 0 1 1 1 1 1 0 0 0 "Parasite" "Homeothermic animals" "Mattias Forshage, Rasmus Hovmöller, Fredrik Ronquist"
"100" 16 "Thysanoptera" "Aeolothripidae" "Aeolothripidae (pars)" 1 3 8 10 11 11 15 0 5 4 "Predator" "Plants" "Carl-Axel Gertsson"
"101" 16 "Thysanoptera" "Melanthripidae" "Aeolothripidae (pars)" 0 1 1 1 1 1 1 0 0 0 "Predator" "Plants" "Carl-Axel Gertsson"
"102" 16 "Thysanoptera" "Phlaeothripidae" "Phlaeothripidae" 0 10 30 34 46 46 60 0 26 14 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"103" 16 "Thysanoptera" "Thripidae" "Thripidae" 3 41 69 74 87 87 110 0 36 23 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"104" 17 "Hemiptera" "Acanthococcidae" "Eriococcidae (pars)" 0 1 7 7 8 8 12 0 5 4 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"105" 17 "Hemiptera" "Adelgidae" "Adelgidae" 1 3 11 11 16 16 16 0 5 0 "Phytophagous" "Plants" "Roy Danielsson"
"106" 17 "Hemiptera" "Aleyrodidae" "Aleyrodidae" 0 5 13 11 12 12 14 0 3 2 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"107" 17 "Hemiptera" "Anoeciidae" "Anoeciidae" 0 2 6 6 6 6 7 0 1 1 "Phytophagous" "Plants" "Roy Danielsson"
"108" 17 "Hemiptera" "Aphalaridae" "Psyllidae (pars)" 3 12 19 19 20 20 22 0 3 2 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"109" 17 "Hemiptera" "Aphididae" "Aphididae" 29 43 364 364 373 373 403 0 39 30 "Phytophagous" "Plants" "Roy Danielsson"
"110" 17 "Hemiptera" "Asterolecaniidae" "Asterolecaniidae" 0 1 3 2 2 2 3 0 1 1 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"111" 17 "Hemiptera" "Coccidae" "Coccidae" 4 14 22 22 25 25 30 0 8 5 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"112" 17 "Hemiptera" "Cryptococcidae" "Eriococcidae (pars)" 1 1 2 2 2 2 2 0 0 0 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"113" 17 "Hemiptera" "Diaspididae" "Diaspididae" 2 5 34 34 20 34 35 0 1 1 "Phytophagous" "Plants" "Carl-Axel Gertsson"
"114" 17 "Hemiptera" "Drepanosiphidae" "Drepanosiphidae" 0 1 91 91 84 84 94 0 3 10 "Phytophagous" "Plants" "Roy Danielsson"
"115" 17 "Hemiptera" "Hormaphididae" "Hormaphididae + Thelaxidae" 0 3 6 6 6 6 6 0 0 0 "Phytophagous" "Plants" "Roy Danielsson"
