"Order" "Family.level.unit..PESI." "Main.feeding.niche" "Main.feeding.habitat"
"125" "Coleoptera" "Pselaphinae" "Saprophagous" "Soil"
"126" "Coleoptera" "Psephenidae" "Saprophagous" "Water"
"127" "Coleoptera" "Pseudopsinae" "Saprophagous" "Soil"
"128" "Coleoptera" "Ptiliidae" "Saprophagous" "Temporary.habitats"
"129" "Coleoptera" "Pyrochroidae" "Saprophagous" "Wood"
"130" "Coleoptera" "Pythidae" "Saprophagous" "Wood"
"131" "Coleoptera" "Quediinae" "Predator" "Temporary.habitats"
"132" "Coleoptera" "Raymondionymidae" "Phytophagous" "Plants"
"133" "Coleoptera" "Rhipiceridae" "Phytophage.parasitoid" "Plants"
"134" "Coleoptera" "Rhynchitidae" "Phytophagous" "Plants"
"135" "Coleoptera" "Ripiphoridae" "Saprophage.parasitoid" "Soil"
"136" "Coleoptera" "Rutelidae" "Phytophagous" "Soil"
"137" "Coleoptera" "Salpingidae" "Saprophagous" "Wood"
"138" "Coleoptera" "Scaphidiinae" "Saprophagous" "Fungi"
"139" "Coleoptera" "Scarabaeidae" "Saprophagous" "Temporary.habitats"
"140" "Coleoptera" "Scirtidae" "Saprophagous" "Soil"
"141" "Coleoptera" "Scraptiidae" "Saprophagous" "Wood"
"142" "Coleoptera" "Scydmaenidae" "Saprophagous" "Soil"
"143" "Coleoptera" "Silphidae" "Saprophagous" "Temporary.habitats"
"144" "Coleoptera" "Silvanidae" "Saprophagous" "Wood"
"145" "Coleoptera" "Sphaeritidae" "Saprophagous" "Temporary.habitats"
"146" "Coleoptera" "Sphaeriusidae" "Saprophagous" "Water"
"147" "Coleoptera" "Sphindidae" "Saprophagous" "Fungi"
"148" "Coleoptera" "Staphylininae" "Predator" "Temporary.habitats"
"149" "Coleoptera" "Steninae" "Predator" "Soil"
"150" "Coleoptera" "Stenotrachelidae" "Saprophagous" "Wood"
"151" "Coleoptera" "Tachyporinae" "Predator" "Soil"
"152" "Coleoptera" "Tenebrionidae" "Saprophagous" "Wood"
"153" "Coleoptera" "Tetratomidae" "Saprophagous" "Fungi"
"154" "Coleoptera" "Thanerocleridae" "Predator" "Temporary.habitats"
"155" "Coleoptera" "Throscidae" "Saprophagous" "Soil"
"156" "Coleoptera" "Trachypachidae" "Predator" "Soil"
"157" "Coleoptera" "Trichophyinae" "Predator" "Soil"
"158" "Coleoptera" "Trigonurinae" "Predator" "Wood"
"159" "Coleoptera" "Trogidae" "Saprophagous" "Temporary.habitats"
"160" "Coleoptera" "Trogositidae" "Saprophagous" "Wood"
"161" "Coleoptera" "Zopheridae" "Predator" "Wood"
"162" "Collembola" "Actaletidae" "Saprophagous" "Soil"
"163" "Collembola" "Arrhopalitidae" "Saprophagous" "Soil"
"164" "Collembola" "Bourletiellidae" "Saprophagous" "Plants"
"165" "Collembola" "Brachystomellidae" "Saprophagous" "Soil"
"166" "Collembola" "Cyphoderidae" "Saprophagous" "Soil"
"167" "Collembola" "Dicyrtomidae" "Saprophagous" "Soil"
"168" "Collembola" "Entomobryidae" "Saprophagous" "Soil"
"169" "Collembola" "Hypogastruridae" "Saprophagous" "Soil"
"170" "Collembola" "Isotomidae" "Saprophagous" "Soil"
"171" "Collembola" "Katiannidae" "Saprophagous" "Soil"
"172" "Collembola" "Mackenziellidae" "Saprophagous" "Soil"
"173" "Collembola" "Neanuridae" "Saprophagous" "Soil"
"174" "Collembola" "Neelidae" "Saprophagous" "Soil"
"175" "Collembola" "Odontellidae" "Saprophagous" "Soil"
"176" "Collembola" "Oncopoduridae" "Saprophagous" "Soil"
"177" "Collembola" "Onychiuridae" "Saprophagous" "Soil"
"178" "Collembola" "Poduridae" "Saprophagous" "Water"
"179" "Collembola" "Sminthuridae" "Saprophagous" "Plants"
"180" "Collembola" "Sminthurididae" "Saprophagous" "Soil"
"181" "Collembola" "Tomoceridae" "Saprophagous" "Soil"
"182" "Collembola" "Tullbergiidae" "Saprophagous" "Soil"
"183" "Dermaptera" "Anisolabididae" "Saprophagous" "Soil"
"184" "Dermaptera" "Carcinophoridae" "Saprophagous" "Soil"
"185" "Dermaptera" "Forficulidae" "Saprophagous" "Soil"
"186" "Dermaptera" "Labiduridae" "Predator" "Soil"
"187" "Dermaptera" "Pygidicranidae" "Saprophagous" "Soil"
"188" "Dermaptera" "Spongiphoridae" "Saprophagous" "Soil"
"189" "Dictyoptera" "Amorphoscelididae" "Predator" "Plants"
"190" "Dictyoptera" "Blaberidae" "Saprophagous" "Temporary.habitats"
"191" "Dictyoptera" "Blattellidae" "Saprophagous" "Temporary.habitats"
"192" "Dictyoptera" "Blattidae" "Saprophagous" "Temporary.habitats"
"193" "Dictyoptera" "Empusidae" "Predator" "Plants"
"194" "Dictyoptera" "Kalotermitidae" "Saprophagous" "Wood"
"195" "Dictyoptera" "Mantidae" "Predator" "Plants"
"196" "Dictyoptera" "Polyphagidae" "Saprophagous" "Temporary.habitats"
"197" "Diplura" "Campodeidae" "Predator" "Soil"
"198" "Diplura" "Japygidae" "Predator" "Soil"
"199" "Diptera" "Acartophthalmidae" "Saprophagous" "Temporary.habitats"
"200" "Diptera" "Acroceridae" "Predator.parasitoid" "Soil"
"201" "Diptera" "Agromyzidae" "Phytophagous" "Plants"
"202" "Diptera" "Anisopodidae" "Saprophagous" "Temporary.habitats"
"203" "Diptera" "Anthomyiidae" "Phytophagous" "Plants"
"204" "Diptera" "Anthomyzidae" "Saprophagous" "Plants"
"205" "Diptera" "Asilidae" "Predator" "Soil"
"206" "Diptera" "Asteiidae" "Saprophagous" NA
"207" "Diptera" "Atelestidae" NA NA
"208" "Diptera" "Athericidae" "Predator" "Water"
"209" "Diptera" "Aulacigastridae" "Saprophagous" "Temporary.habitats"
"210" "Diptera" "Axymyiidae" "Saprophagous" NA
"211" "Diptera" "Bibionidae" "Saprophagous" "Soil"
"212" "Diptera" "Blephariceridae" "Saprophagous" "Water"
"213" "Diptera" "Bolitophilidae" "Saprophagous" "Fungi"
"214" "Diptera" "Bombyliidae" "Phytophage.parasitoid" "Plants"
"215" "Diptera" "Borboropsidae" NA NA
"216" "Diptera" "Braulidae" "Saprophagous" "Temporary.habitats"
"217" "Diptera" "Calliphoridae" "Saprophagous" "Temporary.habitats"
"218" "Diptera" "Camillidae" "Saprophagous" "Temporary.habitats"
"219" "Diptera" "Campichoetidae" "Saprophagous" NA
"220" "Diptera" "Canacidae" "Saprophagous" "Water"
"221" "Diptera" "Canthyloscelidae" "Saprophagous" "Wood"
"222" "Diptera" "Carnidae" "Saprophagous" "Temporary.habitats"
"223" "Diptera" "Cecidomyiidae" "Phytophagous" "Plants"
"224" "Diptera" "Ceratopogonidae" "Saprophagous" "Water"
"225" "Diptera" "Chamaemyiidae" "Predator" "Plants"
"226" "Diptera" "Chaoboridae" "Predator" "Water"
"227" "Diptera" "Chironomidae" "Saprophagous" "Water"
"228" "Diptera" "Chiropteromyzidae" "Saprophagous" "Temporary.habitats"
"229" "Diptera" "Chloropidae" "Phytophagous" "Plants"
"230" "Diptera" "Chyromyidae" "Saprophagous" "Temporary.habitats"
"231" "Diptera" "Clusiidae" "Saprophagous" "Wood"
"232" "Diptera" "Coelopidae" "Saprophagous" "Temporary.habitats"
"233" "Diptera" "Coenomyiidae" "Predator" "Wood"
"234" "Diptera" "Conopidae" "Phytophage.parasitoid" "Plants"
"235" "Diptera" "Cryptochetidae" "Phytophage.parasitoid" "Plants"
"236" "Diptera" "Culicidae" "Saprophagous" "Water"
"237" "Diptera" "Curtonotidae" "Predator" NA
"238" "Diptera" "Cylindrotomidae" "Saprophagous" "Soil"
"239" "Diptera" "Diadocidiidae" "Saprophagous" "Fungi"
"240" "Diptera" "Diastatidae" "Saprophagous" NA
"241" "Diptera" "Diopsidae" "Phytophagous" NA
"242" "Diptera" "Ditomyiidae" "Saprophagous" "Wood"
"243" "Diptera" "Dixidae" "Saprophagous" "Water"
"244" "Diptera" "Dolichopodidae" "Predator" "Soil"
"245" "Diptera" "Drosophilidae" "Saprophagous" "Temporary.habitats"
"246" "Diptera" "Dryomyzidae" "Saprophagous" "Temporary.habitats"
"247" "Diptera" "Empididae" "Predator" "Soil"
"248" "Diptera" "Ephydridae" "Saprophagous" "Water"
"249" "Diptera" "Fanniidae" "Saprophagous" "Temporary.habitats"
"250" "Diptera" "Helcomyzidae" "Saprophagous" "Temporary.habitats"
"251" "Diptera" "Heleomyzidae" "Saprophagous" "Temporary.habitats"
"252" "Diptera" "Hesperinidae" "Saprophagous" "Wood"
"253" "Diptera" "Heterocheilidae" "Saprophagous" "Temporary.habitats"
"254" "Diptera" "Hilarimorphidae" NA NA
"255" "Diptera" "Hippoboscidae" "Parasite" "Homeothermic.animals"
"256" "Diptera" "Hybotidae" "Predator" "Soil"
"257" "Diptera" "Keroplatidae" "Saprophagous" "Fungi"
"258" "Diptera" "Lauxaniidae" "Saprophagous" "Temporary.habitats"
"259" "Diptera" "Limoniidae" "Saprophagous" "Soil"
"260" "Diptera" "Lonchaeidae" "Saprophagous" "Wood"
"261" "Diptera" "Lonchopteridae" "Saprophagous" "Soil"
"262" "Diptera" "Megamerinidae" "Predator" "Wood"
"263" "Diptera" "Micropezidae" "Saprophagous" "Soil"
"264" "Diptera" "Microphoridae" "Predator" "Temporary.habitats"
"265" "Diptera" "Milichiidae" "Saprophagous" "Temporary.habitats"
"266" "Diptera" "Muscidae" "Saprophagous" "Temporary.habitats"
"267" "Diptera" "Mycetobiidae" "Saprophagous" "Fungi"
"268" "Diptera" "Mycetophilidae" "Saprophagous" "Fungi"
"269" "Diptera" "Mydidae" "Predator" "Wood"
"270" "Diptera" "Mythicomyiidae" "Predator" "Soil"
"271" "Diptera" "Nannodastiidae" NA NA
"272" "Diptera" "Nemestrinidae" "Phytophage.parasitoid" "Plants"
"273" "Diptera" "Nycteribiidae" "Parasite" "Homeothermic.animals"
"274" "Diptera" "Odiniidae" "Predator" "Wood"
"275" "Diptera" "Oestridae" "Parasite" "Homeothermic.animals"
"276" "Diptera" "Opetiidae" "Saprophagous" "Wood"
"277" "Diptera" "Opomyzidae" "Phytophagous" "Plants"
"278" "Diptera" "Pachyneuridae" "Saprophagous" "Fungi"
"279" "Diptera" "Pallopteridae" "Saprophagous" NA
"280" "Diptera" "Pediciidae" "Saprophagous" "Soil"
"281" "Diptera" "Periscelididae" "Saprophagous" "Wood"
"282" "Diptera" "Phaeomyiidae" "Saprophage.parasitoid" "Soil"
"283" "Diptera" "Phoridae" "Saprophagous" "Temporary.habitats"
"284" "Diptera" "Piophilidae" "Saprophagous" "Temporary.habitats"
"285" "Diptera" "Pipunculidae" "Phytophage.parasitoid" "Plants"
"286" "Diptera" "Platypezidae" "Saprophagous" "Fungi"
"287" "Diptera" "Platystomatidae" "Saprophagous" "Soil"
"288" "Diptera" "Pseudopomyzidae" "Saprophagous" "Wood"
"289" "Diptera" "Psilidae" "Phytophagous" "Soil"
"290" "Diptera" "Psychodidae" "Saprophagous" "Temporary.habitats"
"291" "Diptera" "Ptychopteridae" "Saprophagous" "Water"
"292" "Diptera" "Pyrgotidae" "Phytophage.parasitoid" "Plants"
"293" "Diptera" "Rachiceridae" "Predator" "Wood"
"294" "Diptera" "Rhagionidae" "Predator" "Soil"
"295" "Diptera" "Rhinophoridae" "Saprophage.parasitoid" "Soil"
"296" "Diptera" "Sarcophagidae" "Saprophagous" "Temporary.habitats"
"297" "Diptera" "Scathophagidae" "Phytophagous" "Plants"
"298" "Diptera" "Scatopsidae" "Saprophagous" "Temporary.habitats"
"299" "Diptera" "Scenopinidae" "Predator" "Soil"
"300" "Diptera" "Sciaridae" "Saprophagous" "Soil"
"301" "Diptera" "Sciomyzidae" "Predator" "Water"
"302" "Diptera" "Sepsidae" "Saprophagous" "Temporary.habitats"
"303" "Diptera" "Simuliidae" "Saprophagous" "Water"
"304" "Diptera" "Sphaeroceridae" "Saprophagous" "Temporary.habitats"
"305" "Diptera" "Stratiomyidae" "Saprophagous" "Water"
"306" "Diptera" "Streblidae" "Parasite" "Homeothermic.animals"
"307" "Diptera" "Strongylophthalmyiidae" "Saprophagous" "Wood"
"308" "Diptera" "Syrphidae" "Predator" "Plants"
"309" "Diptera" "Tabanidae" "Predator" "Water"
"310" "Diptera" "Tachinidae" "Phytophage.parasitoid" "Plants"
"311" "Diptera" "Tanypezidae" "Saprophagous" NA
"312" "Diptera" "Tephritidae" "Phytophagous" "Plants"
"313" "Diptera" "Tethinidae" "Saprophagous" "Temporary.habitats"
"314" "Diptera" "Thaumaleidae" "Saprophagous" "Water"
"315" "Diptera" "Therevidae" "Predator" "Soil"
"316" "Diptera" "Tipulidae" "Saprophagous" "Soil"
"317" "Diptera" "Trichoceridae" "Saprophagous" "Soil"
"318" "Diptera" "Trixoscelididae" "Saprophagous" "Temporary.habitats"
"319" "Diptera" "Ulidiidae" "Saprophagous" "Temporary.habitats"
"320" "Diptera" "Vermileonidae" "Predator" "Soil"
"321" "Diptera" "Xenasteiidae" NA NA
"322" "Diptera" "Xylomyidae" "Saprophagous" "Wood"
"323" "Diptera" "Xylophagidae" "Predator" "Wood"
"324" "Embioptera" "Embiidae" "Saprophagous" "Soil"
"325" "Embioptera" "Oligotomidae" "Saprophagous" "Soil"
"326" "Ephemeroptera" "Ameletidae" "Saprophagous" "Water"
"327" "Ephemeroptera" "Ametropodidae" "Saprophagous" "Water"
"328" "Ephemeroptera" "Arthropleidae" "Saprophagous" "Water"
"329" "Ephemeroptera" "Baetidae" "Saprophagous" "Water"
"330" "Ephemeroptera" "Behningiidae" "Saprophagous" "Water"
"331" "Ephemeroptera" "Caenidae" "Saprophagous" "Water"
"332" "Ephemeroptera" "Ephemerellidae" "Saprophagous" "Water"
"333" "Ephemeroptera" "Ephemeridae" "Saprophagous" "Water"
"334" "Ephemeroptera" "Heptageniidae" "Saprophagous" "Water"
"335" "Ephemeroptera" "Isonychiidae" "Saprophagous" "Water"
"336" "Ephemeroptera" "Leptophlebiidae" "Saprophagous" "Water"
"337" "Ephemeroptera" "Neoephemeridae" "Saprophagous" "Water"
"338" "Ephemeroptera" "Oligoneuriidae" "Saprophagous" "Water"
"339" "Ephemeroptera" "Palingeniidae" "Saprophagous" "Water"
"340" "Ephemeroptera" "Polymitarcyidae" "Saprophagous" "Water"
"341" "Ephemeroptera" "Potamanthidae" "Saprophagous" "Water"
"342" "Ephemeroptera" "Prosopistomatidae" "Saprophagous" "Water"
"343" "Ephemeroptera" "Siphlonuridae" "Saprophagous" "Water"
"344" "Hemiptera" "Acanthosomatidae" "Phytophagous" "Plants"
"345" "Hemiptera" "Achilidae" "Saprophagous" "Wood"
"346" "Hemiptera" "Aclerdidae" "Phytophagous" "Plants"
"347" "Hemiptera" "Adelgidae" "Phytophagous" "Plants"
"348" "Hemiptera" "Aepophilidae" "Predator" "Water"
"349" "Hemiptera" "Aleyrodidae" "Phytophagous" "Plants"
"350" "Hemiptera" "Alydidae" "Phytophagous" "Plants"
"351" "Hemiptera" "Anthocoridae" "Predator" "Plants"
"352" "Hemiptera" "Aphelocheiridae" "Predator" "Water"
"353" "Hemiptera" "Aphididae" "Phytophagous" "Plants"
"354" "Hemiptera" "Aphrophoridae" "Phytophagous" "Plants"
"355" "Hemiptera" "Aradidae" "Saprophagous" "Wood"
"356" "Hemiptera" "Asterolecaniidae" "Phytophagous" "Plants"
"357" "Hemiptera" "Beesoniidae" "Phytophagous" "Plants"
"358" "Hemiptera" "Belostomatidae" "Predator" "Water"
"359" "Hemiptera" "Berytidae" "Phytophagous" "Plants"
"360" "Hemiptera" "Caliscelidae" "Phytophagous" "Plants"
"361" "Hemiptera" "Calophyidae" "Phytophagous" "Plants"
"362" "Hemiptera" "Ceratocombidae" "Phytophagous" "Plants"
"363" "Hemiptera" "Cercopidae" "Phytophagous" "Plants"
"364" "Hemiptera" "Cerococcidae" "Phytophagous" "Plants"
"365" "Hemiptera" "Cicadellidae" "Phytophagous" "Plants"
"366" "Hemiptera" "Cicadidae" "Phytophagous" "Soil"
"367" "Hemiptera" "Cimicidae" "Parasite" "Homeothermic.animals"
"368" "Hemiptera" "Cixiidae" "Phytophagous" "Plants"
"369" "Hemiptera" "Coccidae" "Phytophagous" "Plants"
"370" "Hemiptera" "Coreidae" "Phytophagous" "Plants"
"371" "Hemiptera" "Corixidae" "Saprophagous" "Water"
"372" "Hemiptera" "Cydnidae" "Phytophagous" "Soil"
"373" "Hemiptera" "Dactylopiidae" "Phytophagous" "Plants"
"374" "Hemiptera" "Delphacidae" "Phytophagous" "Plants"
"375" "Hemiptera" "Derbidae" "Phytophagous" "Plants"
"376" "Hemiptera" "Diaspididae" "Phytophagous" "Plants"
"377" "Hemiptera" "Dictyopharidae" "Phytophagous" "Plants"
"378" "Hemiptera" "Dipsocoridae" "Predator" "Soil"
"379" "Hemiptera" "Enicocephalidae" "Predator" "Soil"
"380" "Hemiptera" "Eriococcidae" "Phytophagous" "Plants"
"381" "Hemiptera" "Flatidae" "Phytophagous" "Plants"
"382" "Hemiptera" "Gerridae" "Predator" "Water"
"383" "Hemiptera" "Hebridae" "Phytophagous" "Plants"
"384" "Hemiptera" "Homotomidae" "Phytophagous" "Plants"
"385" "Hemiptera" "Hydrometridae" "Saprophagous" "Water"
"386" "Hemiptera" "Issidae" "Phytophagous" "Plants"
"387" "Hemiptera" "Kermesidae" "Phytophagous" "Plants"
"388" "Hemiptera" "Kinnaridae" "Phytophagous" "Plants"
"389" "Hemiptera" "Lecanodiaspididae" "Phytophagous" "Plants"
"390" "Hemiptera" "Leptopodidae" "Predator" "Soil"
"391" "Hemiptera" "Lygaeidae" "Phytophagous" "Plants"
"392" "Hemiptera" "Margarodidae" "Phytophagous" "Plants"
"393" "Hemiptera" "Meenoplidae" "Phytophagous" "Plants"
"394" "Hemiptera" "Membracidae" "Phytophagous" "Plants"
"395" "Hemiptera" "Mesoveliidae" "Predator" "Water"
"396" "Hemiptera" "Micrococcidae" "Phytophagous" "Plants"
"397" "Hemiptera" "Microphysidae" "Predator" "Soil"
"398" "Hemiptera" "Miridae" "Phytophagous" "Plants"
"399" "Hemiptera" "Nabidae" "Predator" "Plants"
"400" "Hemiptera" "Naucoridae" "Predator" "Water"
"401" "Hemiptera" "Nepidae" "Predator" "Water"
"402" "Hemiptera" "Notonectidae" "Predator" "Water"
"403" "Hemiptera" "Ochteridae" "Predator" "Soil"
"404" "Hemiptera" "Ortheziidae" "Phytophagous" "Plants"
"405" "Hemiptera" "Pentatomidae" "Phytophagous" "Plants"
"406" "Hemiptera" "Phoenicococcidae" "Phytophagous" "Plants"
"407" "Hemiptera" "Phylloxeridae" "Phytophagous" "Plants"
"408" "Hemiptera" "Piesmatidae" "Phytophagous" "Plants"
"409" "Hemiptera" "Plataspididae" "Phytophagous" "Plants"
"410" "Hemiptera" "Pleidae" "Predator" "Water"
"411" "Hemiptera" "Pseudococcidae" "Phytophagous" "Plants"
"412" "Hemiptera" "Psyllidae" "Phytophagous" "Plants"
"413" "Hemiptera" "Pyrrhocoridae" "Phytophagous" "Plants"
"414" "Hemiptera" "Reduviidae" "Predator" "Plants"
"415" "Hemiptera" "Rhopalidae" "Phytophagous" "Plants"
"416" "Hemiptera" "Ricaniidae" "Phytophagous" "Plants"
"417" "Hemiptera" "Saldidae" "Predator" "Soil"
"418" "Hemiptera" "Scutelleridae" "Phytophagous" "Plants"
"419" "Hemiptera" "Stenocephalidae" "Phytophagous" "Plants"
