TaxonId;Understam;Ordning;Familj;Art;Vetenskapligt namn;Auktor;Grupp i 2003-rekonstruktion;Status 2003;URL till taxoninformation;Svensk frekomst
251680;;;;Basalys tritoma;Basalys tritoma;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251680;Bofast och reproducerande
251683;;;;Basalys uherkovichi;Basalys uherkovichi;(Szabó, 1978);;;https://www.dyntaxa.se/taxon/info/251683;Bofast och reproducerande
251684;;;;Coptera inaequalifrons;Coptera inaequalifrons;(Jansson, 1942);;;https://www.dyntaxa.se/taxon/info/251684;Bofast och reproducerande
251688;;;;Diapria conica;Diapria conica;(Fabricius, 1775);;;https://www.dyntaxa.se/taxon/info/251688;Bofast och reproducerande
251690;;;;Diapria nigricornis;Diapria nigricornis;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251690;Bofast och reproducerande
251703;;;;Entomacis bipunctata;Entomacis bipunctata;(Kieffer, 1909);;;https://www.dyntaxa.se/taxon/info/251703;Bofast och reproducerande
251705;;;;Entomacis graeffei;Entomacis graeffei;Kieffer, 1909;;;https://www.dyntaxa.se/taxon/info/251705;Bofast och reproducerande
251706;;;;Entomacis penelope;Entomacis penelope;Nixon, 1980;;;https://www.dyntaxa.se/taxon/info/251706;Bofast och reproducerande
251707;;;;Entomacis perplexa;Entomacis perplexa;(Haliday, 1857);;;https://www.dyntaxa.se/taxon/info/251707;Bofast och reproducerande
251708;;;;Entomacis platyptera;Entomacis platyptera;(Haliday, 1857);;;https://www.dyntaxa.se/taxon/info/251708;Bofast och reproducerande
251709;;;;Idiotypa nigriceps;Idiotypa nigriceps;Kieffer, 1909;;;https://www.dyntaxa.se/taxon/info/251709;Bofast och reproducerande
251710;;;;Idiotypa rufiventris;Idiotypa rufiventris;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251710;Bofast och reproducerande
251711;;;;Labolips innupta;Labolips innupta;Haliday, 1857;;;https://www.dyntaxa.se/taxon/info/251711;Bofast och reproducerande
251712;;;;Monelata aphrodite;Monelata aphrodite;(Nixon, 1980);;;https://www.dyntaxa.se/taxon/info/251712;Bofast och reproducerande
251713;;;;Monelata cincta;Monelata cincta;(Haliday, 1857);;;https://www.dyntaxa.se/taxon/info/251713;Bofast och reproducerande
251714;;;;Monelata parvula;Monelata parvula;(Nees, 1834);;;https://www.dyntaxa.se/taxon/info/251714;Bofast och reproducerande
251715;;;;Monelata solida;Monelata solida;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251715;Bofast och reproducerande
251723;;;;Paramesius brachypterus;Paramesius brachypterus;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251723;Bofast och reproducerande
251725;;;;Paramesius claviscapus;Paramesius claviscapus;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251725;Bofast och reproducerande
251727;;;;Paramesius crassicornis;Paramesius crassicornis;Thomson, 1858;;;https://www.dyntaxa.se/taxon/info/251727;Bofast och reproducerande
251731;;;;Paramesius rufipes;Paramesius rufipes;Westwood, 1832;;;https://www.dyntaxa.se/taxon/info/251731;Bofast och reproducerande
251733;;;;Paramesius elongatus;Paramesius elongatus;Thomson, 1859;;;https://www.dyntaxa.se/taxon/info/251733;Bofast och reproducerande
251745;;;;Platymischus dilatatus;Platymischus dilatatus;Westwood, 1832;;;https://www.dyntaxa.se/taxon/info/251745;Bofast och reproducerande
251753;;;;Psilus acutangulus;Psilus acutangulus;(Jansson, 1942);;;https://www.dyntaxa.se/taxon/info/251753;Bofast och reproducerande
251754;;;;Psilus brevicornis;Psilus brevicornis;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251754;Bofast och reproducerande
251755;;;;Psilus caecutiens;Psilus caecutiens;(Marshall, 1867);;;https://www.dyntaxa.se/taxon/info/251755;Bofast och reproducerande
251756;;;;Psilus clypeatus;Psilus clypeatus;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251756;Bofast och reproducerande
251757;;;;Psilus cornutus;Psilus cornutus;Panzer, 1801;;;https://www.dyntaxa.se/taxon/info/251757;Bofast och reproducerande
251758;;;;Psilus frontalis;Psilus frontalis;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251758;Bofast och reproducerande
251759;;;;Psilus fuscipennis;Psilus fuscipennis;(Curtis, 1831);;;https://www.dyntaxa.se/taxon/info/251759;Bofast och reproducerande
251760;;;;Psilus intermedius;Psilus intermedius;(Jansson, 1955);;;https://www.dyntaxa.se/taxon/info/251760;Bofast och reproducerande
251761;;;;Psilus lapponicus;Psilus lapponicus;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251761;Bofast och reproducerande
251762;;;;Psilus obliquus;Psilus obliquus;(Thomson, 1858);;;https://www.dyntaxa.se/taxon/info/251762;Bofast och reproducerande
