"group";"known2003";"expert2007";"expert2017";"propCatch";"numSpec";"numSiteObs";"numTraps";"numSamples";"numSp2003";"numSpSmtp";"numNewSmtp";"mr";"S1";"S2";"Q1";"Q2";"chao1";"chao1.se";"ace";"ace.se";"chao2";"chao2.se";"jack1";"jack1.se";"jack2";"boot";"boot.se";"preston";"cne";"chao1p";"chao2p";"jack1p";"jack2p"
"Drosophilidae";59;66;80;0.325461909071794;7405;441;67;356;59;39;4;65.6666666666667;8;3;12;3;46;6.64440349663436;46.0537634408602;2.78091234719718;62.6417910447761;19.9063971354608;50.8208955223881;3.41239860595659;59.5963364993216;43.8931806298189;1.86482907874432;89.874541121322;105.99859994455;47.9355687047995;60.7544378698225;55.6323412523183;65.2385932093165
"Dryinidae+Embolemidae";33;47;47;0.110424576292216;469;137;44;88;33;22;3;38.1;4;0;5;0;28;7.26046043404175;24.2492187801397;2.33792304495948;31.7727272727273;10.0884095345016;26.8863636363636;2.18524825073843;31.6590909090909;24.0298510571876;1.17802335198905;30.7267197601329;61.1604938271605;28.9256198347107;33.6528925619835;28.2751220886551;33.2943745304282
"Eupelmidae";16;22;30;0.307925529395045;618;51;26;65;16;13;3;20.6363636363636;2;3;3;2;13.25;0.731845931177548;14.8569888609414;1.95802398252959;15.1634615384615;3.27788024347024;15.8846153846154;1.66543346881623;16.8815384615385;14.5419389148032;1.31478574400841;23.8460467064452;14.2473704513308;13.5636094674556;14.7455621301775;16.7305416477014;17.7805553026855
"Figitidae excl Charipinae";127;239;268;0.260552371026576;903;271;41;145;127;79;20;169.666666666667;22;7;31;11;107.875;16.6953960479101;98.0846020948062;4.91861926859915;121.616407982262;21.0253346914228;109.243902439024;9.88933411351868;128.529878048781;92.3576831157652;5.75569412482326;97.3021295646638;256.921422874839;116.240886877103;135.881349142766;126.065467932359;148.321131502534
"Heleomyzidae+Odiniidae";54;62;80;0.235821976488461;4911;527;62;265;54;62;21;81.5;10;4;14;9;71;7.61246198445606;69.7532589247678;3.95710346787712;72.7132616487455;7.50056597095519;75.7741935483871;4.18180738524434;80.7556848228451;68.4789308221193;2.59612556902962;77.1805054240002;83.721249856758;72.84703433923;74.7252861602497;79.6378100768688;84.8733003861327
"Ichneumoninae excl Phaeogenini";325;480;490;0.361356239161449;5659;1278;71;423;325;235;50;412.634408602151;56;20;70;31;307.333333333333;26.6137290934779;284.163991278926;8.36601666898308;311.919127669241;24.9139926598081;303.014084507042;13.5058599256355;341.345875251509;265.185264771656;8.21149963279916;277.971733675524;372.553645702432;324.93500864441;337.162461648039;330.130181630362;371.892204215137
"Lauxaniidae";44;48;65;0.0561189722211087;347;79;28;40;44;28;14;86;7;5;12;4;31.5;3.65697372018496;34.3279641599124;2.82801033149392;45.3571428571429;13.895978349354;39.5714285714286;3.61755921774303;47.1375661375661;33.0812970830641;1.89086095552627;38.9953999742566;41.5939545744003;33.46875;48.7673469387755;46.8396501457726;55.7954864485477
"Lonchaeidae";27;38;67;0.364773319437207;386;126;47;126;27;32;16;53.3529411764706;9;3;10;4;41;8.034320436605;41.0901987342925;3.24083804037104;44.2340425531915;10.4652143183423;41.7872340425532;3.09499515676054;47.6151711378353;36.3519368915687;1.78545671362157;43.7908525547481;47.9346358792185;44.2431640625;45.00390625;45.8680186170213;52.2650901942646
"Meteorini";37;60;53;0.27002700270027;1304;347;68;285;37;39;10;49.6666666666667;5;3;6;6;41.5;3.1563189632213;41.9462803681907;3.00052151707344;41.9558823529412;3.19951810277195;44.9117647058824;2.41346783480107;44.9986830553117;42.2372844190595;1.7128662350008;47.7404753139473;42.6862725231898;42.1821170282709;42.116652578191;45.9747650539506;46.0637406424196
"Milichiidae excl Phyllomyza";9;9;12;0.450796959395188;736;76;40;109;9;8;3;14;0;0;0;1;8;0;8;1.36930639376292;8;0;8;0;7.07435897435897;8.16766627493051;0.411504831156804;NA;8;8;8;8;7.07435897435897
"Mycetophilidae+Keroplatidae";456;713;950;0.0395653600447764;732;189;15;39;456;158;51;671.805555555556;67;25;129;27;243.038461538462;28.1192366380637;239.778649132809;8.38540963036453;445.622222222222;76.9202987771687;278.4;57.5972221552394;368.471428571429;207.055531381824;29.6938466749269;207.644821187884;651.776589606077;286.741379894741;754.731670748735;463.981413235058;614.094447432875
"Mymar";2;2;6;0.0243182212958138;13;7;7;7;2;3;1;3;0;1;1;1;3;0;3;1.82501207499443e-08;3.42857142857143;1.16057691494799;3.85714285714286;0.857142857142857;3.97619047619048;3.43743678229309;0.534965589642526;7.89568568700671;3;3;3.33333333333333;4.28571428571429;4.41798941798942
"Netelia";13;28;30;0.0483882974763642;40;18;9;13;13;10;4;21;3;0;5;4;13;4.49358517136459;11.35;1.41512249482286;12.7777777777778;3.29842835751053;14.4444444444444;1.98761597999981;15.6111111111111;12.1495125726301;1.24152171676841;12.8532682381161;13.0833333333333;14.17;15;18.0555555555556;19.5138888888889
"Phoridae";182;1100;1100;0.0583410743820377;33797;2785;28;103;182;863;743;1305.71074380165;245;96;445;123;1171.14432989691;53.2310420700719;1139.68842420678;17.3176809647472;1639.23040069686;105.313391899116;1292.10714285714;117.325538088496;1595.3373015873;1042.93410729088;60.4449338378066;1305.62165529354;1981.88284743431;1265.53324565745;2100.98583488043;1635.66268419182;2019.51804641801
"Phrudus group";2;10;10;0.560187597707139;488;78;44;129;2;4;3;6.5;0;0;0;0;4;0;NA;NA;4;0;4;0;4;4.00048942684986;0.0221176002897742;NA;4;4;4;4;4
"Pimplinae";127;150;150;0.279112265949017;1521;391;62;312;127;64;9;147.571428571429;20;3;20;6;111.5;30.7246821928562;89.3573257259893;4.85600854731293;96.7956989247312;20.6680167693304;83.6774193548387;5.02625779579208;97.320994182972;72.4112450993766;2.69762689179844;116.10298186034;120.608756102738;122.388671875;100.043526785714;91.8490423387097;106.824997521153
"Piophilidae";17;17;25;0.238839673441028;1063;56;30;54;17;11;1;18.6363636363636;1;1;2;4;11;0.238365647311398;11.7225;1.70944340813747;11.4833333333333;1.00446917988226;12.9333333333333;1.36707311029399;11.1954022988506;12.3129565099218;1.40134544912763;22.1633909601161;11.4848484848485;11.0909090909091;11.5702479338843;13.3608815426997;11.5654982426142
"Platygastridae (s str)";124;250;270;0.22169032246668;2971;816;64;250;124;164;92;281.534246575342;32;22;49;22;185.565217391304;10.0456128585046;188.172618825282;6.75671667011153;217.715553977273;20.5038524920322;212.234375;9.52854726023988;238.728918650794;186.253354704081;6.39250802980382;184.320932050793;266.785201216172;192.630163205132;234.335081343921;231.180490941962;260.040196672825
"Rhyssinae";6;6;7;0.0992580461053624;5;4;4;4;6;2;1;9.5;1;0;1;0;2;0.353553390593274;3.125;0.754841474218262;2;0.265165042944955;2.75;0.75;3.25;2.3203125;0.466596616301222;122501936.777761;2;2.5;2.5;3.4375;4.0625
"Sciomyzidae";77;85;83;0.250130276185513;1021;249;49;144;77;58;3;81.1785714285714;6;5;19;5;60.5;2.89755644178562;60.9078503217406;3.76932568126723;93.3632653061224;23.4254407351491;76.6122448979592;10.3148276026054;90.140731292517;66.0415418516718;6.20708171035458;59.7464979259234;139.859423604445;61.1474435196195;95.7825505350773;84.8337135091849;99.8139786161195
"Sepsidae";34;32;38;0.156331422615946;3870;119;36;85;34;16;1;36.1875;0;2;2;4;16;0;16;1.73205080756888;16.4861111111111;1.00885833440027;17.9444444444444;1.95828408133495;16.1634920634921;17.2960740966482;1.45326462119521;23.4497325661139;16.1497253415002;16;16.453125;18.2248263888889;16.4160466269841
"Small mycetophiloid families";6;8;16;0.0833767587285044;84;33;14;27;6;11;7;15.8;2;1;4;2;11.5;1.28007302780808;11.9266666666667;1.54055943188427;14.7142857142857;4.94046184736874;14.7142857142857;1.85714285714286;16.5604395604396;12.6927893170248;1.03047975546453;11.466230614035;15.3055555555556;11.8801652892562;14.7190082644628;16.6599763872491;18.7502497502498
"Symphyta";584;875;799;0.304434875620526;2912;576;66;333;584;183;34;716.6;53;24;76;39;238.12;20.1363519574764;231.223079156486;7.59672876629467;255.929292929293;22.1186882030157;257.848484848485;20.5511746752491;294.309090909091;217.392837659782;14.1159960189845;271.590882197645;317.759113549599;258.09309803219;298.10165278151;302.320784662897;345.069917123397
"Tephritidae+Ulidiidae";92;93;108;0.506892794542612;495;143;37;107;92;51;5;101.893617021277;12;5;15;14;62;8.47109252706819;59.5111519576986;3.67447160167392;58.8185328185328;5.33723810676307;65.5945945945946;5.08682826206209;66.9084084084084;58.6662396961479;3.41619899118177;54.9559295149837;66.0311437142985;65.4325259515571;63.0173010380623;71.2688674834004;72.6963330112119
"Thysanoptera";119;117;186;0.0701896183173634;1528;86;21;66;119;34;1;122.529411764706;13;3;18;5;53.5;14.7295716289997;51.6218914883026;3.79616824335201;64.8571428571429;20.805807666444;51.1428571428571;8.11482224919649;63.1309523809524;41.2212164944587;4.40149771830477;NA;112.518248053835;61.3213667820069;76.1764705882353;65.4770143351458;80.8250947437799
