Taxon;Vials;Specimens;CollID
Scenopinidae;0;0;1081
Sciomyzidae;1;2;1081
Sepsidae;1;1;1081
Sphaeroceridae;1;2;1081
Stenomicridae;0;0;1081
Stratiomyidae;0;0;1081
Strongylophthalmyiidae;0;0;1081
Syrphidae;2;51;1081
Tabanidae;0;0;1081
Tachinidae;1;12;1081
Tanypezidae;0;0;1081
Tephritidae;0;0;1081
Tethinidae;0;0;1081
Therevidae;1;1;1081
Trixoscelididae;0;0;1081
Ulidiidae;0;0;1081
Xylomyidae;0;0;1081
Xylophagidae;0;0;1081
Acarthophthalmidae ;0;0;2098
Acroceridae;0;0;2098
Agromyzidae;0;0;2098
Anthomyiidae;0;0;2098
Anthomyzidae;0;0;2098
Asilidae;0;0;2098
Asteiidae;0;0;2098
Athericidae;0;0;2098
Aulacigasteridae;0;0;2098
Bombyliidae;0;0;2098
Brachystomatidae;0;0;2098
Braulidae;0;0;2098
Calliphoridae;0;0;2098
Camillidae;0;0;2098
Campichoetidae;0;0;2098
Carnidae;0;0;2098
Chamaemyiidae;0;0;2098
Chiropteromyzidae;0;0;2098
Chloropidae;0;0;2098
Chyromyidae;0;0;2098
Clusiidae;0;0;2098
Coelopidae;0;0;2098
Coenomyiidae;0;0;2098
Conopidae;0;0;2098
Diastatidae;0;0;2098
Dolichopodidae;0;0;2098
Drosophilidae;0;0;2098
Dryomyzidae;0;0;2098
Empidoidea;0;0;2098
Ephydridae;0;0;2098
Fanniidae;0;0;2098
Gasterophilidae;0;0;2098
Helcomyzidae;0;0;2098
Heleomyzidae;1;2;2098
Heterocheilidae;0;0;2098
Hippoboscidae;0;0;2098
Hypodermatidae;0;0;2098
Lauxaniidae;0;0;2098
Lonchaeidae;0;0;2098
Lonchopteridae;0;0;2098
Megamerinidae;0;0;2098
Micropezidae;0;0;2098
Milichiidae;0;0;2098
Muscidae;1;1;2098
Nycteribiidae;0;0;2098
Odiniidae;0;0;2098
Oestridae;0;0;2098
Opetiidae;0;0;2098
Opomyzidae;0;0;2098
Pallopteridae;0;0;2098
Periscelididae;0;0;2098
Phaeomyiidae;0;0;2098
Phoridae;0;0;2098
Piophilidae;0;0;2098
Pipunculidae;0;0;2098
Platypezidae;0;0;2098
Platystomatidae;0;0;2098
Pseudopomyzidae;0;0;2098
Psilidae;0;0;2098
Rhagionidae;0;0;2098
Rhinophoridae;0;0;2098
Sarcophagidae;0;0;2098
Scathophagidae;0;0;2098
Scenopinidae;0;0;2098
Sciomyzidae;0;0;2098
Sepsidae;0;0;2098
Sphaeroceridae;0;0;2098
Stenomicridae;0;0;2098
Stratiomyidae;0;0;2098
Strongylophthalmyiidae;0;0;2098
Syrphidae;0;0;2098
Tabanidae;0;0;2098
Tachinidae;0;0;2098
Tanypezidae;0;0;2098
Tephritidae;0;0;2098
Tethinidae;0;0;2098
Therevidae;0;0;2098
Trixoscelididae;0;0;2098
Ulidiidae;0;0;2098
Xylomyidae;0;0;2098
Xylophagidae;0;0;2098
Acarthophthalmidae ;1;5;1420
Acroceridae;0;0;1420
Agromyzidae;1;83;1420
Anthomyiidae;2;168;1420
Anthomyzidae;1;2;1420
Asilidae;3;39;1420
Asteiidae;0;0;1420
Athericidae;0;0;1420
Aulacigasteridae;0;0;1420
Bombyliidae;1;1;1420
Brachystomatidae;0;0;1420
Braulidae;0;0;1420
Calliphoridae;1;4;1420
Camillidae;1;1;1420
Campichoetidae;0;0;1420
Carnidae;1;5;1420
Chamaemyiidae;1;2;1420
Chiropteromyzidae;0;0;1420
Chloropidae;1;104;1420
Chyromyidae;0;0;1420
Clusiidae;1;4;1420
Coelopidae;0;0;1420
Coenomyiidae;0;0;1420
Conopidae;0;0;1420
Diastatidae;0;0;1420
Dolichopodidae;2;253;1420
Drosophilidae;1;26;1420
Dryomyzidae;1;1;1420
Empidoidea;4;1363;1420
Ephydridae;1;18;1420
Fanniidae;1;62;1420
Gasterophilidae;0;0;1420
Helcomyzidae;0;0;1420
Heleomyzidae;1;24;1420
Heterocheilidae;1;1;1420
Hippoboscidae;0;0;1420
Hypodermatidae;0;0;1420
Lauxaniidae;1;48;1420
Lonchaeidae;1;1;1420
Lonchopteridae;1;3;1420
Megamerinidae;0;0;1420
Micropezidae;0;0;1420
