"Genus"	"Species"	"Author"	"TrapID"	"EventID"	"Order"	"AnalysisTaxon"	"SciName"
"62"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	31	1061	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis pallescens"
"63"	"Heteropeza"	"pygmaea"	"Winnertz, 1846"	31	1061	"Diptera"	"Porricondylinae (s lat)"	"Heteropeza pygmaea"
"64"	"Leptosyna"	"nervosa"	"(Winnertz, 1852)"	31	1061	"Diptera"	"Porricondylinae (s lat)"	"Leptosyna nervosa"
"65"	"Porricondyla"	"pilosa"	"(Mamaev & Zaitzev, 1996)"	31	1061	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla pilosa"
"66"	"Winnertzia"	"padicola"	"Spuņģis, 1992"	31	1061	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia padicola"
"67"	"Winnertzia"	"tridens"	"Panelius, 1965"	31	1061	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia tridens"
"68"	"Divellepidosis"	"hypoxantha"	"(Panelius, 1965)"	44	1185	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis hypoxantha"
"69"	"Pseudepidosis"	"trifida"	"Mamaev, 1966"	44	1185	"Diptera"	"Porricondylinae (s lat)"	"Pseudepidosis trifida"
"70"	"Rostratyla"	"simplex"	"Jaschhof, 2013"	44	1185	"Diptera"	"Porricondylinae (s lat)"	"Rostratyla simplex"
"71"	"Serratyla"	"pubescens"	"(F.Walker, 1856)"	44	1185	"Diptera"	"Porricondylinae (s lat)"	"Serratyla pubescens"
"72"	"Spungisomyia"	"media"	"(Spuņģis, 1981)"	44	1185	"Diptera"	"Porricondylinae (s lat)"	"Spungisomyia media"
"73"	"Camptomyia"	"corticalis"	"(Loew, 1851)"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia corticalis"
"74"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Diallactia crocea"
"75"	"Divellepidosis"	"armilla"	"(Mamaev, 1994)"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis armilla"
"76"	"Divellepidosis"	"pallescens"	"(Panelius, 1965)"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Divellepidosis pallescens"
"77"	"Monepidosis"	"pectinatoides"	"Jaschhof, 2013"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Monepidosis pectinatoides"
"78"	"Parepidosis"	"arcuata"	"Mamaev, 1964"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Parepidosis arcuata"
"79"	"Porricondyla"	"neglecta"	"Mamaev, 1965"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Porricondyla neglecta"
"80"	"Rostellatyla"	"rostellata"	"(Panelius, 1965)"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Rostellatyla rostellata"
"81"	"Winnertzia"	"globifera"	"Mamaev, 1963"	44	1186	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia globifera"
"82"	"Camptomyia"	"flavocinerea"	"Panelius, 1965"	44	1187	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia flavocinerea"
"83"	"Camptomyia"	"gigantea"	"Spuņģis, 1989"	44	1187	"Diptera"	"Porricondylinae (s lat)"	"Camptomyia gigantea"
"84"	"Diallactia"	"crocea"	"(Kieffer, 1894)"	44	1187	"Diptera"	"Porricondylinae (s lat)"	"Diallactia crocea"
"85"	"Monepidosis"	"furcata"	"Mamaev, 1966"	44	1187	"Diptera"	"Porricondylinae (s lat)"	"Monepidosis furcata"
"86"	"Schistoneurus"	"impressus"	"Mamaev, 1964"	44	1187	"Diptera"	"Porricondylinae (s lat)"	"Schistoneurus impressus"
"87"	"Winnertzia"	"sp."	"Rondani, 1860"	44	1187	"Diptera"	"Porricondylinae (s lat)"	"Winnertzia sp."
