"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"76"	"Leucorrhinia"	"dubia"	"(van der Linden, 1825)"	"http://dyntaxa.se/taxon/info/208308"	"Dyntaxa"	NA	"Leucorrhinia dubia"
"77"	"Leucorrhinia"	"rubicunda"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/208309"	"Dyntaxa"	NA	"Leucorrhinia rubicunda"
"78"	"Libellula"	"sp."	"Linneaus, 1758"	"http://dyntaxa.se/taxon/info/1002325"	"Dyntaxa"	NA	"Libellula sp."
"79"	"Libellula"	"fulva"	"Müller, 1764"	"http://dyntaxa.se/taxon/info/101208"	"Dyntaxa"	NA	"Libellula fulva"
"80"	"Libellula"	"quadrimaculata"	"Linneaus, 1758"	"http://dyntaxa.se/taxon/info/208311"	"Dyntaxa"	NA	"Libellula quadrimaculata"
"81"	"Libellula"	"depressa"	"Linneaus, 1758"	"http://dyntaxa.se/taxon/info/208313"	"Dyntaxa"	NA	"Libellula depressa"
"82"	"Orthetrum"	"sp."	"Newman, 1833"	"http://dyntaxa.se/taxon/info/1002326"	"Dyntaxa"	NA	"Orthetrum sp."
"83"	"Orthetrum"	"cancellatum"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/208314"	"Dyntaxa"	NA	"Orthetrum cancellatum"
"84"	"Orthetrum"	"coerulescens"	"(Fabricius, 1798)"	"http://dyntaxa.se/taxon/info/208315"	"Dyntaxa"	NA	"Orthetrum coerulescens"
"85"	"Orthetrum"	"brunneum"	"(Boyer de Fonscolombe, 1837)"	"http://dyntaxa.se/taxon/info/6000483"	"Dyntaxa"	NA	"Orthetrum brunneum"
"86"	"Sympetrum"	"sp."	"Newman, 1833"	"http://dyntaxa.se/taxon/info/1002327"	"Dyntaxa"	NA	"Sympetrum sp."
"87"	"Sympetrum"	"flaveolum"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/208316"	"Dyntaxa"	NA	"Sympetrum flaveolum"
"88"	"Sympetrum"	"danae"	"(Sulzer, 1776)"	"http://dyntaxa.se/taxon/info/208317"	"Dyntaxa"	NA	"Sympetrum danae"
"89"	"Sympetrum"	"vulgatum"	"(Linneaus, 1758)"	"http://dyntaxa.se/taxon/info/208318"	"Dyntaxa"	NA	"Sympetrum vulgatum"
"90"	"Sympetrum"	"striolatum"	"(Charpentier, 1840)"	"http://dyntaxa.se/taxon/info/208319"	"Dyntaxa"	NA	"Sympetrum striolatum"
"91"	"Sympetrum"	"sanguineum"	"(Müller, 1764)"	"http://dyntaxa.se/taxon/info/208320"	"Dyntaxa"	NA	"Sympetrum sanguineum"
"92"	"Sympetrum"	"fonscolombii"	"(Selys, 1840)"	"http://dyntaxa.se/taxon/info/242470"	"Dyntaxa"	NA	"Sympetrum fonscolombii"
"93"	"Sympetrum"	"pedemontanum"	"(Allioni, 1766)"	"http://dyntaxa.se/taxon/info/252431"	"Dyntaxa"	NA	"Sympetrum pedemontanum"
"94"	"Sympetrum"	"meridionale"	"(Selys, 1841)"	"http://dyntaxa.se/taxon/info/6000487"	"Dyntaxa"	NA	"Sympetrum meridionale"
"95"	"Crocothemis"	"sp."	"Brulle, 1832"	"http://dyntaxa.se/taxon/info/6000484"	"Dyntaxa"	NA	"Crocothemis sp."
"96"	"Crocothemis"	"erythraea"	"(Brulle, 1832)"	"http://dyntaxa.se/taxon/info/6000485"	"Dyntaxa"	NA	"Crocothemis erythraea"
