"Genus"	"Species"	"Author"	"GUID"	"Taxon.name..computed."
"77"	"Evagetes"	"crassicornis"	"(Shuckard, 1837)"	"https://www.dyntaxa.se/taxon/info/234200"	"Evagetes crassicornis"
"78"	"Evagetes"	"pectinipes"	"(Linnaeus, 1758)"	"https://www.dyntaxa.se/taxon/info/234201"	"Evagetes pectinipes"
"79"	"Evagetes"	"sahlbergi"	"(Morawitz, 1893)"	"https://www.dyntaxa.se/taxon/info/234202"	"Evagetes sahlbergi"
"80"	"Evagetes"	"subglaber"	"(Haupt, 1941)"	"https://www.dyntaxa.se/taxon/info/234274"	"Evagetes subglaber"
"81"	"Ferreola"	"sp."	"Lepeletier, 1845"	"https://www.dyntaxa.se/taxon/info/1006927"	"Ferreola sp."
"82"	"Ferreola"	"diffinis"	"(Lepeletier, 1845)"	"https://www.dyntaxa.se/taxon/info/100980"	"Ferreola diffinis"
"83"	"Homonotus"	"sp."	"Dahlbom, 1843"	"https://www.dyntaxa.se/taxon/info/1006928"	"Homonotus sp."
"84"	"Homonotus"	"sanguinolentus"	"(Fabricius, 1793)"	"https://www.dyntaxa.se/taxon/info/101079"	"Homonotus sanguinolentus"
"85"	"Pompilus"	"sp."	"Fabricius, 1798"	"https://www.dyntaxa.se/taxon/info/1009575"	"Pompilus sp."
"86"	"Pompilus"	"cinereus"	"(Fabricius, 1775)"	"https://www.dyntaxa.se/taxon/info/234203"	"Pompilus cinereus"
"87"	"Eoferreola"	"sp."	"Arnold, 1935"	"https://www.dyntaxa.se/taxon/info/1013484"	"Eoferreola sp."
"88"	"Eoferreola"	"rhombica"	"(Christ, 1791)"	"https://www.dyntaxa.se/taxon/info/248760"	"Eoferreola rhombica"
