"Genus"	"Species"	"Author"	"GUID"	"Source"	"Notes..errors..synonyms..undescribed.etc."	"Taxon.name..computed."
"139"	"Blastodacna"	"atra"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/214369"	"Dyntaxa"	NA	"Blastodacna atra"
"140"	"Blastodacna"	"hellerella"	"(Duponchel, 1838)"	"http://dyntaxa.se/taxon/info/214370"	"Dyntaxa"	NA	"Blastodacna hellerella"
"141"	"Spuleria"	"sp."	"Hofmann, 1898"	"http://dyntaxa.se/taxon/info/1003786"	"Dyntaxa"	NA	"Spuleria sp."
"142"	"Spuleria"	"flavicaput"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/101815"	"Dyntaxa"	NA	"Spuleria flavicaput"
"143"	"Dystebenna"	"sp."	"Spuler, 1910"	"http://dyntaxa.se/taxon/info/1003787"	"Dyntaxa"	NA	"Dystebenna sp."
"144"	"Dystebenna"	"stephensi"	"(Stainton, 1849)"	"http://dyntaxa.se/taxon/info/100877"	"Dyntaxa"	NA	"Dystebenna stephensi"
"145"	"Batrachedra"	"sp."	"Herrich-Schäffer, 1853"	"http://dyntaxa.se/taxon/info/1003813"	"Dyntaxa"	NA	"Batrachedra sp."
"146"	"Batrachedra"	"praeangusta"	"(Haworth, 1828)"	"http://dyntaxa.se/taxon/info/214421"	"Dyntaxa"	NA	"Batrachedra praeangusta"
"147"	"Batrachedra"	"pinicolella"	"(Zeller, 1839)"	"http://dyntaxa.se/taxon/info/214422"	"Dyntaxa"	NA	"Batrachedra pinicolella"
"148"	"Mompha"	"sp."	"Hübner, 1825"	"http://dyntaxa.se/taxon/info/1003817"	"Dyntaxa"	NA	"Mompha sp."
"149"	"Mompha"	"sextrigella"	"(Braun, 1921)"	"http://dyntaxa.se/taxon/info/102464"	"Dyntaxa"	NA	"Mompha sextrigella"
"150"	"Mompha"	"propinquella"	"(Stainton, 1851)"	"http://dyntaxa.se/taxon/info/102465"	"Dyntaxa"	NA	"Mompha propinquella"
"151"	"Mompha"	"miscella"	"(Denis & Schiffermüller, 1775)"	"http://dyntaxa.se/taxon/info/214558"	"Dyntaxa"	NA	"Mompha miscella"
"152"	"Mompha"	"idaei"	"(Zeller, 1839)"	"http://dyntaxa.se/taxon/info/214559"	"Dyntaxa"	NA	"Mompha idaei"
