"Genus"	"Species"	"Author"	"Total"	"TrapID"	"EventID"	"StartDate"
"37"	"Scambus"	"sp."	"Hartig, 1838"	1	1008	1741	"2006.vii.04"
"38"	"Liotryphon"	"sp."	"Ashmead, 1900"	1	3	800	"2004.viii.11"
"39"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	1	22	246	"2003.vii.17"
"40"	"Scambus"	"sp."	"Hartig, 1838"	1	31	503	"2003.vii.10"
"41"	"Acrodactyla"	"sp."	"Haliday, 1839"	1	1	1574	"2005.viii.04"
"42"	"Scambus"	"sp."	"Hartig, 1838"	1	1	1574	"2005.viii.04"
"43"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	1	42	1165	"2004.vi.17"
"44"	"Itoplectis"	"alternans"	"(Gravenhorst, 1829)"	1	3	109	"2003.viii.04"
"45"	"Dolichomitus"	"sp."	"Smith, 1877"	1	3	84	"2003.vi.08 "
"46"	"Pimpla"	"contemplator"	"(Müller, 1776)"	1	22	246	"2003.vii.17"
"47"	"Pimpla"	"spuria"	"Gravenhorst, 1829"	3	22	246	"2003.vii.17"
"48"	"Pimpla"	"flavicoxis"	"Thomson, 1877"	1	31	503	"2003.vii.10"
"49"	"Zatypota"	"sp."	"Förster, 1869"	1	1	1574	"2005.viii.04"
"50"	"Scambus"	"sp."	"Hartig, 1838"	4	6	369	"2003.vii.02"
"51"	"Scambus"	"sp."	"Hartig, 1838"	1	28	1458	"2004.vii.16"
"52"	"Scambus"	"sp."	"Hartig, 1838"	1	39	602	"2003.vii.12"
"53"	"Liotryphon"	"sp."	"Ashmead, 1900"	2	39	1801	"2005.v.26"
"54"	"Dolichomitus"	"sp."	"Smith, 1877"	3	49	2062	" 2003.vii.21"
"55"	"Scambus"	"sp."	"Hartig, 1838"	1	6	852	"2004.vii.26"
"56"	"Dolichomitus"	"sp."	"Smith, 1877"	1	6	369	"2003.vii.02"
"57"	"Scambus"	"sp."	"Hartig, 1838"	1	12	70	"2003.vii.05"
"58"	"Liotryphon"	"sp."	"Ashmead, 1900"	1	12	891	"2004.vi.27"
"59"	"Delomerista"	"sp."	"Förster, 1869"	1	12	891	"2004.vi.27"
"60"	"Ephialtini"	"sp."	"Hellén, 1915"	1	12	69	"2003.vi.24"
"61"	"Dolichomitus"	"mesocentrus"	"(Gravenhorst, 1829)"	1	27	471	"2003.ix.15"
